,tweet_date,tweet_year,tweet_month,tweet_day,tweet_hour,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_lang
1062,2015-07-16 20:43:00+03:00,2015,7,16,20,Prez taking questions right now from the public - follow us #AskVillaSomalia,,,Twitter Web Client,,TRUE,FALSE,3,3,AskVillaSomalia,1,,0,,0,,en
1063,2015-07-16 15:50:00+03:00,2015,7,16,15,"#Somalia, #Somalis - join the discussion; send in your questions/comments #AskVillaSomalia today 8pm #Mogadishu times. Speak with the Prez!",,,Twitter Web Client,,TRUE,FALSE,4,11,"Somalia, Somalis, AskVillaSomalia, Mogadishu",4,,0,,0,,en
1064,2015-07-16 15:05:00+03:00,2015,7,16,15,Towards #progress: Young people realize their potential in #Somalia http://t.co/zlt9TNMTl3 http://t.co/LiZsuKSggh,,,Twitter Web Client,,TRUE,FALSE,2,4,"progress, Somalia",2,http://t.co/zlt9TNMTl3,1,,0,photo,en
1065,2015-07-16 10:08:00+03:00,2015,7,16,10,"#Somalia stats of the #Yemeni crisis - of those arriving #Somalia, 44% are children, 30% women and 26% men. More at: http://t.co/DZ98uwfXXV",,,Twitter Web Client,,TRUE,FALSE,11,4,"Somalia, Yemeni, Somalia",3,http://t.co/DZ98uwfXXV,1,,0,,en
1066,2015-07-16 09:23:00+03:00,2015,7,16,9,"Since March: 23,680 persons arrived #Somalia  from the crisis in Yemen. 
90% are our own #Somali citizens coming back home,10% #Yemenis",,,Twitter Web Client,,TRUE,FALSE,20,18,"Somalia, Somali, Yemenis",3,,0,,0,,en
1067,2015-07-16 09:07:00+03:00,2015,7,16,9,"Somalia's post-conflict banana harvest revival
http://t.co/3k3pM0olhX?",,,Twitter Web Client,,TRUE,FALSE,2,2,,0,http://t.co/3k3pM0olhX,1,,0,,en
1068,2015-07-15 09:27:00+03:00,2015,7,15,9,"Prez makes strong case for remittance, @igadsecretariat  stands with member state #Somalia https://t.co/r3WOHHj2dq",,,Twitter Web Client,,TRUE,FALSE,4,2,Somalia,1,https://t.co/r3WOHHj2dq,1,igadsecretariat,1,,en
1069,2015-07-14 22:11:00+03:00,2015,7,14,22,"Prez. ayaa wafdiga Midowga Yurub uga warbixiyey xaaladda Soomaaliya, dhinacyada amniga, siyaasadda &amp; dhaqaalaha http://t.co/MNPRzA6yBc",,,Twitter Web Client,,TRUE,FALSE,7,4,,0,,0,,0,photo,so
1070,2015-07-14 21:49:00+03:00,2015,7,14,21,Madaxweynaha oo la kulmey Ra’iisul Wasaaraha Sweden iyo Madaxa Iskaashiga Caalamiga ee Midowga Yurub http://t.co/eDBLPN1c81,,,Twitter Web Client,,TRUE,FALSE,4,8,,0,,0,,0,photo,so
1071,2015-07-14 12:06:00+03:00,2015,7,14,12,#Somalia join the discussion at increasing #enoughcapacity to attend issues and share #progress you see in #Somalia. http://t.co/wEdmtYzzMW,,,Twitter Web Client,,TRUE,FALSE,4,2,"Somalia, enoughcapacity, progress, Somalia",4,,0,,0,photo,en
1072,2015-07-14 11:53:00+03:00,2015,7,14,11,"#Somalia, a pic of an increasing peace dividend; share your #progress stories- join the discussion at #enoughcapacity http://t.co/yruC1snWes",,,Twitter Web Client,,TRUE,FALSE,4,7,"Somalia, progress, enoughcapacity",3,,0,,0,photo,en
1073,2015-07-14 11:40:00+03:00,2015,7,14,11,"#Somalia follow us at #enoughcapacity. Less than 3yrs, #enoughcapacity as state formation process continues to evolve http://t.co/SSOMhvq5S7",,,Twitter Web Client,,TRUE,FALSE,7,6,"Somalia, enoughcapacity, enoughcapacity",3,,0,,0,photo,en
1074,2015-07-14 11:22:00+03:00,2015,7,14,11,#Somalis join the discussion at #enoughcapacity to celebrate #progress made to resolve existing and emerging states disputes within #Somalia,,,Twitter Web Client,,TRUE,FALSE,3,5,"Somalis, enoughcapacity, progress, Somalia",4,,0,,0,,en
1075,2015-07-14 11:20:00+03:00,2015,7,14,11,"#Somalia R.W Cumar oo gaaray #Garowe, #cadaado - nagala soco #enoughcapacity.",,,Twitter Web Client,,TRUE,FALSE,3,2,"Somalia, Garowe, cadaado, enoughcapacity",4,,0,,0,,so
